epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2113.76,1.04742,0.95027,1.30114,0.83257,0.66576,0.75582,0.5263,1.16346,1.19366,1.44104,0.000848969,0.000848969,0.000848969
43,2162.48,1.04278,0.9432,1.29332,0.7998,0.65864,0.73538,0.51326,1.18404,1.22981,1.47963,0.000834822,0.000834822,0.000834822
44,2211.88,1.05209,0.94955,1.29471,0.7908,0.6513,0.74161,0.51742,1.17783,1.26058,1.45623,0.000820675,0.000820675,0.000820675
45,2262.42,1.04004,0.92659,1.29305,0.80654,0.66436,0.74824,0.52334,1.18325,1.19853,1.48051,0.000806528,0.000806528,0.000806528
46,2312.65,1.04316,0.9205,1.29288,0.78277,0.65828,0.7317,0.5145,1.17421,1.2154,1.44714,0.00079238,0.00079238,0.00079238
47,2362.63,1.03966,0.90666,1.28601,0.81202,0.66549,0.75493,0.52978,1.18136,1.17213,1.47496,0.000778233,0.000778233,0.000778233
48,2412.37,1.02764,0.89548,1.27888,0.82212,0.67144,0.76104,0.54018,1.16323,1.14201,1.46465,0.000764086,0.000764086,0.000764086
49,2463.44,1.02067,0.87656,1.27341,0.82692,0.67124,0.75309,0.53032,1.15218,1.19115,1.44705,0.000749939,0.000749939,0.000749939
50,2513.08,1.0327,0.89883,1.28744,0.83796,0.65851,0.7569,0.52845,1.18477,1.20059,1.47779,0.000735792,0.000735792,0.000735792
51,2562.65,1.02096,0.87869,1.27825,0.79549,0.67848,0.75582,0.53602,1.16254,1.22301,1.46002,0.000721645,0.000721645,0.000721645
52,2612.41,1.00255,0.87968,1.26599,0.80077,0.6962,0.76385,0.53776,1.14341,1.1453,1.43155,0.000707498,0.000707498,0.000707498
53,2662.4,0.99964,0.85821,1.25904,0.83663,0.661,0.7532,0.53164,1.14961,1.19951,1.44331,0.000693351,0.000693351,0.000693351
54,2713.36,0.99935,0.85616,1.26332,0.78204,0.69516,0.75878,0.53633,1.14255,1.17119,1.42643,0.000679204,0.000679204,0.000679204
55,2763.54,1.003,0.85489,1.2551,0.79975,0.6881,0.75933,0.53403,1.14616,1.16284,1.42856,0.000665057,0.000665057,0.000665057
56,2813.83,0.99088,0.84358,1.25093,0.80858,0.67573,0.76256,0.5402,1.15473,1.15989,1.44256,0.000650909,0.000650909,0.000650909
57,2863.76,0.99527,0.83733,1.25831,0.80659,0.67963,0.75754,0.54362,1.13704,1.18967,1.43756,0.000636762,0.000636762,0.000636762
58,2914,0.98748,0.82344,1.24695,0.81576,0.67311,0.75267,0.53115,1.15039,1.1598,1.44404,0.000622615,0.000622615,0.000622615
59,2963.55,0.98853,0.83427,1.25312,0.8266,0.68559,0.77006,0.54912,1.11961,1.09589,1.4167,0.000608468,0.000608468,0.000608468
